
0x0061063d ゲームの設定が出来る場所だよ。
0x00610661 あつめた才アイコンを
0x00610676 チェックできるモードだよ。
0x00610699 テンコの覚醒臓器の修行場だよ。
0x006106b8 何度もチャレンジして高得点を狙おう！
0x006106e5 いままでクリアしたステージを何度でも
0x0061070a 遊べるモードだよ。
0x00610725 「うえきの法則」のストーリーに沿って
0x0061074a すすんでいくモードだよ。
0x00610771 はじめから遊ぶ？
0x00610789 続きから遊ぶ？
0x0061085d Ｒ＋Ｂで発動！巨大な大砲から木の
0x0061087e 弾丸を直線に発射する攻撃用神器！
0x0061089f 神器メモリを１つ消費します。
0x006108c9 Ｌ＋Ｂ＋↓で発動！目の前に巨大な
0x006108ea 拳を出す攻撃にも防御にもなる神器！
0x0061090d 神器メモリを１／２消費します。
0x00610939 Ｒ＋Ｂ＋↑で発動！巨大な刀身で
0x00610958 相手を真上から斬りつける神器！
0x00610977 神器メモリを１つ消費します。
0x006109a1 Ｒ＋Ｂ＋↓で発動！
0x006109b4 敵をサーチし巨大な口で噛み潰す神器！
0x006109d9 神器メモリを１つ消費します。
0x00610a01 Ｌ＋Ｒ＋Ｂで発動！ピックを伸ばす
0x00610a22 一点集中の強力な突き攻撃をする神器！
0x00610a47 神器メモリを３つ消費します。
0x00610a71 Ｌ＋Ａで発動！
0x00610a80 地面を高速移動できる神器！
0x00610a9b 神器メモリを１／４消費します。
0x00610ac5 Ｌ＋Ｒ＋Ｂ＋↓で発動！
0x00610adc 敵をサーチし四角い箱で捕獲する神器！
0x00610b01 神器メモリを３つ消費します。
0x00610b29 Ｌ＋Ｒ＋Ｂ＋↑で発動！
0x00610b40 巨大なムチで前後に攻撃する神器！
0x00610b61 神器メモリを３つ消費します。
0x00610b89 空中でＬ＋Ａで発動！
0x00610b9e 空中を背中の翼で高速移動できる神器！
0x00610bc3 神器メモリを１／４消費します。
0x00610bed Ｌ＋Ｒ長押し後、Ｂで発動！コバセンが
0x00610c12 画面を横切り全画面攻撃する神器！
0x00610c33 神器メモリを５つ消費します。
0x00610c5d Ｌ＋Ｂ＋↑で発動！敵の直接攻撃を
0x00610c7e はね返し遠距離攻撃はかき消す超必殺技
0x00610ca3 神器メモリを１／４消費します。
0x00610cf9 　一ツ星神器　鉄　
0x00610d15 二ツ星神器　威風堂堂
0x00610d35 三ツ星神器　快刀乱麻
0x00610d55 四ツ星神器　唯我独尊
0x00610d75 五ツ星神器　百鬼夜行
0x00610d95 六ツ星神器　電光石火
0x00610db5 　七ツ星神器　旅人　
0x00610dd5 　八ツ星神器　波花　
0x00610df5 九ツ星神器　花鳥風月
