0x0004b460 設定を変更することができます。
0x0004b480 データを見ることができます。
0x0004b4a0 エンドレスで戦うモードです。
0x0004b4c0 対戦を楽しむモードです。
0x0004b4e0 ストーリーを楽しむモードです。
0x0004b500 もう１台と通信対戦します
0x0004b520 コンピュータと対戦します
0x0004b540 モードを選択してください・・・
0x0004b560 通信エラーが発生しました！
0x0004b688
0x0004bb04 どこから始めますか？
0x0004bb24 キャラクターをえらんでください
0x0004bb44
0x0004bb58 ゲート前
0x0004bb64 ソドム内部
0x0004bb70 修行の章

0x0004bb94 　柳救出　：
%B決意！
0x0004bbac クリア
0x0004bbb4 　必殺技　：０／３
0x0004bbc8 　超必殺技：０／１
0x0004bbdc セーブ内容
0x0004bbe8 名前：
0x0004bbf0 　クリア
0x0004bbfc 紅麗
0x0004bc04 小金井　薫
0x0004bc10 水鏡　凍季也
0x0004bc20 霧沢　風子
0x0004bc2c 石島　土門
0x0004bc38 花菱　烈火
0x0004bc44 第九話
0x0004bc4c 第八話
0x0004bc54 第七話
0x0004bc5c 第六話
0x0004bc64 第五話
0x0004bc6c 第四話
0x0004bc74 第三話
0x0004bc7c 第ニ話
0x0004bc84 第一話

0x0004bca0 烈火と紅麗
0x0004bcac 燃えさかりし炎
0x0004bcbc 裏切りし者
0x0004bcc8 兄妹
0x0004bcd0 狂気の叫び
0x0004bcdc 狩りの始まり
0x0004bcec 麗参戦！
0x0004bcf8 突風！！
0x0004bd04 使命
0x0004bd0c 闇夜の挑戦者
0x0004bd1c 真剣勝負
0x0004bd28 誓い
0x0004bd30 迎撃
0x0004bd38 奇襲
0x0004bd40 土門の野望
0x0004bd4c 告白
0x0004bd54 魔導具対決
0x0004bd60 最終決戦
0x0004bd6c 開かれる扉
0x0004bd78 復讐の植物兵器
0x0004bd88 魔導具の怪物
0x0004bd98 裏麗最凶の男
0x0004bda8 忍び寄る魔手
0x0004bdb8 要塞都市ＳＯＤＯＭ
0x0004bdcc 火影出陣
0x0004bdd8 迷い
0x0004bde0 希望
0x0004bde8 戦いの始まり
0x0004bdf8 　クリア
0x0004be04 　必殺技　：０／３
0x0004be18 　超必殺技：０／１
0x0004be2c 　柳救出　：
%B決意！

0x0004be5c Ａボタンを押してください
0x0004be78 せんたくできません
0x0004be8c キャラクターをえらんでください
0x0004beac しばらくお待ちください
0x0004becc ルールを設定してください
0x0004bef0 しばらくお待ちください
0x0004bf10 フィールドをえらんでください
0x0004bf3c 通信対戦接続チェック中よ。
0x0004bf57 通信対戦の準備をしてね。
0x0004bf70 接続完了したわ。
0x0004bf81 ＳＴＡＲＴボタンを押して！
0x0004bfa4 接続完了したわ。
0x0004bfb5 もうしばらく待ってね！
0x0004bfd8 せんたくできません
0x0004bfec キャラクターをえらんでください
0x0004c00c お主には、もう
0x0004c01b 何も言うことはない。
0x0004c030 よくぞここまで強くなった！
0x0004c04c 魔導具を完璧に
0x0004c05b 使いこなしておるな！
0x0004c070 たいしたものぢゃ！
0x0004c084 ワンダホーぢゃ！
0x0004c095 これほど凄いとは
0x0004c0a6 思わんかったわい！！
0x0004c0bc これはこれは！
0x0004c0cb ビューティフルな
0x0004c0dc 戦い方じゃ！
0x0004c0ec さすがぢゃ！
0x0004c0f9 自分の技を、よく
0x0004c10a 使いこなしておる！
0x0004c120 けっこう、イケとるのぉ！
0x0004c139 だが、まだまだ
0x0004c148 頑張れるのではないか？
0x0004c160 たいした腕ぢゃの。
0x0004c173 見とれてしまったワイ。
0x0004c18c なかなかのモンぢゃ。
0x0004c1a1 やるではないか。
0x0004c1b4 なにをやっておるのぢゃ。
0x0004c1cd そんなことでどうする！
0x0004c1e4 全然ダメではないか。
0x0004c1f9 時間のムダぢゃの。
0x0004c20c この程度で終わりか。
0x0004c221 期待はずれぢゃのぉ。
0x0004c254 キャラクターをえらんでください
0x0004c274 もどります
0x0004c294 ワザリストです
0x0004c2b4 ＶＳせいせきです
0x0004c2d4 プロフィールです
0x0004c2f4 ることを誓う。
0x0004c30c となって命を賭して守
0x0004c324 と呼び、自ら姫の忍び
0x0004c33c 同級生の佐古下柳を姫
0x0004c354 あることから、高校で
0x0004c36c 従えている。
0x0004c384 腕の中に八つの火竜を
0x0004c39c は炎術士の能力を持ち
0x0004c3b4 火影党首の血を引く彼
0x0004c3cc られ今に至る。
0x0004c3e4 流離によって現代へ送
0x0004c3fc ため陽炎の秘術・時空
0x0004c414 信長の猛威から逃れる
0x0004c42c 孫。
0x0004c444 の能力をもつ火影の子
0x0004c45c の間に生まれた炎術士
0x0004c474 首・桜花と正妻・陽炎
0x0004c48c 四百年前、火影忍軍党
0x0004c4a4
0x0004c4bc 高校生。
0x0004c4d4 花火職人の義父をもつ
0x0004c4ec 姓は花菱、名は烈火。
0x0004c504 （はなびしれっか）
0x0004c51c 花菱烈火
0x0004c534 その１
0x0004c544 成長ぶりを見せる。
0x0004c55c の戦いを通じて大きな
0x0004c574 思われていたが、多く
0x0004c58c 火影一の足手まといと
0x0004c5a4 強さかもしれない。
0x0004c5bc よるところが土門の
0x0004c5d4 だが、すべては本能に
0x0004c5ec 持ち主。
0x0004c604 を切り抜ける強運の
0x0004c61c とっさの行動でピンチ
0x0004c634 パワーファイター。
0x0004c64c 力任せの戦い方をする
0x0004c664 ケンカ仲間。
0x0004c67c 烈火と同じ高校に通う
0x0004c694 （いしじまどもん）
0x0004c6ac 石島土門
